"Year","County","Population"
2011,Gunnison,15269.0
2011,Hinsdale,824.0
2011,Huerfano,6504.0
2011,Jackson,1372.0
2011,Jefferson,539721.0
2011,Kiowa,1445.0
2011,Kit Carson,8181.0
2011,La Plata,51866.0
2011,Lake,7382.0
2011,Larimer,305078.0
2011,Las Animas,15045.0
2011,Lincoln,5397.0
2011,Logan,22254.0
2011,Mesa,148108.0
2011,Mineral,706.0
2011,Moffat,13402.0
2011,Montezuma,25463.0
2011,Montrose,40894.0
2011,Morgan,28434.0
2011,Otero,18831.0
2011,Ouray,4422.0
2011,Park,16096.0
2011,Phillips,4373.0
2011,Pitkin,17125.0
2011,Prowers,12467.0
2011,Pueblo,160157.0
2011,Rio Blanco,6696.0
2011,Rio Grande,11905.0
2011,Routt,23237.0
2011,Saguache,6184.0
2011,San Juan,693.0
2011,San Miguel,7477.0
2011,Sedgwick,2367.0
2011,Summit,27954.0
2011,Teller,23294.0
2011,Washington,4789.0
2011,Weld,258551.0
2011,Yuma,10118.0
2012,Adams,460064.0
2012,Alamosa,15687.0
2012,Arapahoe,595776.0
2012,Archuleta,12109.0
2012,Baca,3746.0
2012,Bent,5778.0
2012,Boulder,305016.0
2012,Broomfield,58715.0
2012,Chaffee,18123.0
2012,Cheyenne,1875.0
2012,Clear Creek,9103.0
2012,Conejos,8246.0
2012,Costilla,3601.0
2012,Crowley,5376.0
2012,Custer,4241.0
2012,Delta,30461.0
2012,Denver,634471.0
2012,Dolores,1990.0
2012,Douglas,298638.0
2012,Eagle,51849.0
2012,El Paso,647446.0
2012,Elbert,23371.0
2012,Fremont,47075.0
2012,Garfield,56770.0
2012,Gilpin,5457.0
2012,Grand,14157.0
2012,Gunnison,15384.0
2012,Hinsdale,795.0
2012,Huerfano,6563.0
2012,Jackson,1338.0
2012,Jefferson,545880.0
2012,Kiowa,1425.0
2012,Kit Carson,8088.0
2012,La Plata,52457.0
2012,Lake,7291.0
2012,Larimer,310717.0
2012,Las Animas,14966.0
2012,Lincoln,5438.0
2012,Logan,22003.0
2012,Mesa,148291.0
2012,Mineral,706.0
2012,Moffat,13135.0
2012,Montezuma,25441.0
2012,Montrose,40691.0
2012,Morgan,28241.0
2012,Otero,18660.0
2012,Ouray,4510.0
2012,Park,16052.0
2012,Phillips,4384.0
2012,Pitkin,17222.0
2012,Prowers,12380.0
2012,Pueblo,160759.0
2012,Rio Blanco,6774.0
2012,Rio Grande,11865.0
2012,Routt,23257.0
2012,Saguache,6316.0
2012,San Juan,692.0
2012,San Miguel,7570.0
2012,Sedgwick,2370.0
2012,Summit,28213.0
2012,Teller,23349.0
2012,Washington,4716.0
2012,Weld,263924.0
2012,Yuma,10082.0
2013,Adams,469477.0
2013,Alamosa,15804.0
2013,Arapahoe,607145.0
2013,Archuleta,12211.0
2013,Baca,3679.0
2013,Bent,5708.0
2013,Boulder,309971.0
2013,Broomfield,59975.0
2013,Chaffee,18281.0
2013,Cheyenne,1889.0
2013,Clear Creek,9095.0
2013,Conejos,8229.0
2013,Costilla,3537.0
2013,Crowley,5278.0
2013,Custer,4287.0
2013,Delta,30322.0
2013,Denver,648162.0
2013,Dolores,2021.0
2013,Douglas,306627.0
2013,Eagle,52334.0
2013,El Paso,656981.0
2013,Elbert,23632.0
2013,Fremont,46441.0
2013,Garfield,56947.0
2013,Gilpin,5571.0
2013,Grand,14271.0
2013,Gunnison,15591.0
2013,Hinsdale,804.0
2013,Huerfano,6470.0
2013,Jackson,1353.0
2013,Jefferson,551411.0
2013,Kiowa,1404.0
2013,Kit Carson,8269.0
2013,La Plata,53405.0
2013,Lake,7317.0
2013,Larimer,316284.0
2013,Las Animas,14378.0
2013,Lincoln,5414.0
2013,Logan,21809.0
2013,Mesa,148232.0
2013,Mineral,727.0
2013,Moffat,13080.0
2013,Montezuma,25660.0
2013,Montrose,40674.0
2013,Morgan,28219.0
2013,Otero,18505.0
2013,Ouray,4544.0
2013,Park,16188.0
2013,Phillips,4359.0
2013,Pitkin,17390.0
2013,Prowers,12271.0
2013,Pueblo,161085.0
2013,Rio Blanco,6722.0
2013,Rio Grande,11696.0
2013,Routt,23550.0
