"Year","County","PercentChangeSince2017"
2023,Kit Carson,1.6810
2023,La Plata,13.7034
2023,Lake,4.6947
2023,Larimer,10.7971
2023,Las Animas,-0.2433
2023,Lincoln,8.2893
2023,Logan,6.7437
2023,Mesa,6.6223
2023,Mineral,6.7395
2023,Moffat,0.9186
2023,Montezuma,12.2451
2023,Montrose,9.1935
2023,Morgan,6.0158
2023,Otero,-0.2393
2023,Ouray,4.9108
2023,Park,10.4470
2023,Phillips,0.7076
2023,Pitkin,5.6261
2023,Prowers,0.6806
2023,Pueblo,6.4755
2023,Rio Blanco,1.1893
2023,Rio Grande,-0.1468
2023,Routt,10.9003
2023,Saguache,3.1523
2023,San Juan,3.8465
2023,San Miguel,19.0983
2023,Sedgwick,-1.8216
2023,Summit,11.6254
2023,Teller,10.6392
2023,Washington,1.9704
2023,Weld,21.7988
2023,Yuma,3.0331
2024,Adams,15.4749
2024,Alamosa,8.5778
2024,Arapahoe,10.8977
2024,Archuleta,13.7870
2024,Baca,-3.9542
2024,Bent,6.1610
2024,Boulder,8.1793
2024,Broomfield,24.4879
2024,Chaffee,10.4156
2024,Cheyenne,-0.3198
2024,Clear Creek,4.0703
2024,Conejos,1.5440
2024,Costilla,1.2770
2024,Crowley,7.9902
2024,Custer,4.0367
2024,Delta,4.1236
2024,Denver,11.0384
2024,Dolores,2.9515
2024,Douglas,12.5829
2024,Eagle,12.0202
2024,El Paso,11.5317
2024,Elbert,32.9293
2024,Fremont,1.0156
2024,Garfield,14.7684
2024,Gilpin,2.7909
2024,Grand,14.0100
2024,Gunnison,8.6221
2024,Hinsdale,16.2291
2024,Huerfano,-0.5690
2024,Jackson,-1.9561
2024,Jefferson,7.4541
2024,Kiowa,-0.8146
2024,Kit Carson,2.2249
2024,La Plata,15.8718
2024,Lake,5.6620
2024,Larimer,12.6838
2024,Las Animas,-0.3014
2024,Lincoln,9.5835
2024,Logan,7.8056
2024,Mesa,7.9670
2024,Mineral,8.0847
2024,Moffat,1.0403
2024,Montezuma,14.3974
2024,Montrose,10.7062
2024,Morgan,7.0369
2024,Otero,-0.6208
2024,Ouray,5.1193
2024,Park,12.0854
2024,Phillips,0.8775
2024,Pitkin,6.4119
2024,Prowers,0.6057
2024,Pueblo,7.5205
2024,Rio Blanco,1.3759
2024,Rio Grande,-0.2668
2024,Routt,13.3233
2024,Saguache,3.2125
2024,San Juan,3.9000
2024,San Miguel,22.3839
2024,Sedgwick,-1.9521
2024,Summit,13.8568
2024,Teller,12.1648
2024,Washington,2.2840
2024,Weld,25.8357
2024,Yuma,3.4658
2025,Adams,17.7610
2025,Alamosa,9.7589
2025,Arapahoe,12.4929
2025,Archuleta,15.6247
2025,Baca,-4.6489
2025,Bent,7.0798
2025,Boulder,9.4908
2025,Broomfield,28.0755
2025,Chaffee,11.8576
2025,Cheyenne,-0.2943
2025,Clear Creek,4.5550
2025,Conejos,1.9046
2025,Costilla,1.3103
2025,Crowley,9.3282
2025,Custer,4.6036
2025,Delta,4.7067
2025,Denver,13.1338
2025,Dolores,3.6765
2025,Douglas,14.4677
2025,Eagle,14.1970
2025,El Paso,13.2452
2025,Elbert,38.0131
2025,Fremont,1.1236
2025,Garfield,16.8397
2025,Gilpin,3.0702
2025,Grand,15.8653
2025,Gunnison,9.9055
2025,Hinsdale,19.0090
2025,Huerfano,-0.6270
2025,Jackson,-2.1164
2025,Jefferson,8.2574
2025,Kiowa,-1.2935
2025,Kit Carson,2.8177
2025,La Plata,18.0301
2025,Lake,6.6667
2025,Larimer,14.5664
2025,Las Animas,-0.3805
2025,Lincoln,10.9728
2025,Logan,8.8562
2025,Mesa,9.5195
2025,Mineral,9.3867
2025,Moffat,1.1730
2025,Montezuma,16.5762
2025,Montrose,12.9411
2025,Morgan,8.0792
2025,Otero,-1.1078
2025,Ouray,5.2043
2025,Park,13.6997
2025,Phillips,1.0521
2025,Pitkin,7.1724
2025,Prowers,0.5025
2025,Pueblo,8.5658
2025,Rio Blanco,1.7898
2025,Rio Grande,-0.2132
2025,Routt,16.1290
2025,Saguache,3.2523
2025,San Juan,4.8357
2025,San Miguel,25.7029
2025,Sedgwick,-2.0172
2025,Summit,16.2277
2025,Teller,13.4699
2025,Washington,2.5840
2025,Weld,29.9107
2025,Yuma,3.8703
2026,Adams,20.0596
2026,Alamosa,10.9664
2026,Arapahoe,14.0952
2026,Archuleta,17.6111
2026,Baca,-5.3438
2026,Bent,7.7926
2026,Boulder,10.8113
2026,Broomfield,31.6734
2026,Chaffee,13.2903
2026,Cheyenne,-0.2454
2026,Clear Creek,5.2935
2026,Conejos,2.3076
2026,Costilla,1.3438
2026,Crowley,10.7566
2026,Custer,5.2897
2026,Delta,5.2704
2026,Denver,15.2443
2026,Dolores,4.3833
2026,Douglas,16.3548
2026,Eagle,16.5799
2026,El Paso,14.9747
2026,Elbert,44.2647
2026,Fremont,1.3908
2026,Garfield,18.9855
2026,Gilpin,3.1769
2026,Grand,17.6841
2026,Gunnison,11.1629
2026,Hinsdale,21.8833
2026,Huerfano,-0.6822
2026,Jackson,-2.2406
2026,Jefferson,9.0445
2026,Kiowa,-1.7954
2026,Kit Carson,3.4636
2026,La Plata,20.1762
2026,Lake,7.7089
2026,Larimer,16.4454
2026,Las Animas,-0.4776
2026,Lincoln,12.5445
2026,Logan,9.9025
2026,Mesa,11.2165
2026,Mineral,10.6545
2026,Moffat,1.3269
2026,Montezuma,18.7887
2026,Montrose,15.6618
2026,Morgan,9.2369
2026,Otero,-1.6333
