"Year","County","PercentChangeSince2017","Basin"
2026,Denver,15.2443,Metro
2026,Douglas,16.3548,Metro
2026,Elbert,44.2647,"Metro, Arkansas"
2026,Gilpin,3.1769,South Platte
2026,Jefferson,9.0445,Metro
2026,Kit Carson,3.4636,South Platte
2026,Larimer,16.4454,South Platte
2026,Lincoln,12.5445,"Arkansas, South Platte"
2026,Logan,9.9025,South Platte
2026,Morgan,9.2369,South Platte
2026,Park,15.5813,South Platte
2026,Phillips,1.2287,South Platte
2026,Sedgwick,-2.1186,South Platte
2026,Teller,14.5446,"Arkansas, South Platte"
2026,Washington,2.8695,South Platte
2026,Weld,34.0252,South Platte
2026,Yuma,4.2574,South Platte
2027,Adams,22.3683,Metro
2027,Arapahoe,15.6978,Metro
2027,Boulder,12.1354,South Platte
2027,Broomfield,35.2930,Metro
2027,Cheyenne,-0.1940,"South Platte, Arkansas"
2027,Clear Creek,6.1472,South Platte
2027,Denver,17.3346,Metro
2027,Douglas,18.2106,Metro
2027,Elbert,49.7348,"Metro, Arkansas"
2027,Gilpin,3.2754,South Platte
2027,Jefferson,9.8117,Metro
2027,Kit Carson,4.1818,South Platte
2027,Larimer,18.2958,South Platte
2027,Lincoln,14.1894,"Arkansas, South Platte"
2027,Logan,10.9420,South Platte
2027,Morgan,10.4914,South Platte
2027,Park,17.7356,South Platte
2027,Phillips,1.2855,South Platte
2027,Sedgwick,-2.4622,South Platte
2027,Teller,15.5931,"Arkansas, South Platte"
2027,Washington,3.1634,South Platte
2027,Weld,38.1777,South Platte
2027,Yuma,4.5673,South Platte
2028,Adams,24.6838,Metro
2028,Arapahoe,17.3002,Metro
2028,Boulder,13.3038,South Platte
2028,Broomfield,38.9306,Metro
2028,Cheyenne,-0.1403,"South Platte, Arkansas"
2028,Clear Creek,7.1209,South Platte
2028,Denver,19.2438,Metro
2028,Douglas,19.9970,Metro
2028,Elbert,55.1820,"Metro, Arkansas"
2028,Gilpin,3.3770,South Platte
2028,Jefferson,10.5576,Metro
2028,Kit Carson,4.9026,South Platte
2028,Larimer,20.0552,South Platte
2028,Lincoln,15.6318,"Arkansas, South Platte"
2028,Logan,11.9729,South Platte
2028,Morgan,11.8447,South Platte
2028,Park,19.8425,South Platte
2028,Phillips,1.5030,South Platte
2028,Sedgwick,-2.6917,South Platte
2028,Teller,16.6125,"Arkansas, South Platte"
2028,Washington,3.4674,South Platte
2028,Weld,42.3662,South Platte
2028,Yuma,4.9660,South Platte
2029,Adams,27.0029,Metro
2029,Arapahoe,18.9009,Metro
2029,Boulder,14.5627,South Platte
2029,Broomfield,39.5881,Metro
2029,Cheyenne,-0.0857,"South Platte, Arkansas"
2029,Clear Creek,8.1134,South Platte
2029,Denver,20.9657,Metro
2029,Douglas,21.7667,Metro
2029,Elbert,60.2111,"Metro, Arkansas"
2029,Gilpin,3.4889,South Platte
2029,Jefferson,11.2820,Metro
2029,Kit Carson,5.6362,South Platte
2029,Larimer,21.8080,South Platte
2029,Lincoln,17.2932,"Arkansas, South Platte"
2029,Logan,12.9980,South Platte
2029,Morgan,13.2957,South Platte
2029,Park,21.9305,South Platte
2029,Phillips,1.2931,South Platte
2029,Sedgwick,-2.7055,South Platte
2029,Teller,17.6016,"Arkansas, South Platte"
2029,Washington,3.7729,South Platte
2029,Weld,46.5884,South Platte
2029,Yuma,5.3066,South Platte
2030,Adams,29.3227,Metro
2030,Arapahoe,20.4967,Metro
2030,Boulder,15.8167,South Platte
2030,Broomfield,40.1810,Metro
2030,Cheyenne,-0.2991,"South Platte, Arkansas"
2030,Clear Creek,9.1260,South Platte
2030,Denver,22.4950,Metro
2030,Douglas,23.5069,Metro
2030,Elbert,65.1927,"Metro, Arkansas"
2030,Gilpin,3.6192,South Platte
